"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 10:41:54 GMT 2024","Mon Jun 03 10:41:54 GMT 2024","315","Tests","test_regres_api","","","","Delete User","This test case deletes an existing user from the API."
"passed","Mon Jun 03 10:41:58 GMT 2024","Mon Jun 03 10:42:00 GMT 2024","1498","Tests","test_todo_api","","","","Update Task","This test updates a task and verifies if the task is updated correctly."
"failed","Mon Jun 03 10:41:52 GMT 2024","Mon Jun 03 10:41:53 GMT 2024","321","Tests","test_regres_api","","","","User Not Found","This test case handles the scenario where a user is not found in the API."
"passed","Mon Jun 03 10:41:53 GMT 2024","Mon Jun 03 10:41:53 GMT 2024","320","Tests","test_regres_api","","","","Update User with PUT","This test case updates an existing user in the API using the PUT method."
"passed","Mon Jun 03 10:41:53 GMT 2024","Mon Jun 03 10:41:53 GMT 2024","320","Tests","test_regres_api","","","","Create User","This test case creates a new user in the API."
"passed","Mon Jun 03 10:41:55 GMT 2024","Mon Jun 03 10:41:58 GMT 2024","2917","Tests","test_todo_api","","","","Create Task","This test creates a task and verifies if the task is created correctly."
"passed","Mon Jun 03 10:41:53 GMT 2024","Mon Jun 03 10:41:54 GMT 2024","354","Tests","test_regres_api","","","","Update User with PATCH","This test case updates an existing user in the API using the PATCH method."
"passed","Mon Jun 03 10:41:54 GMT 2024","Mon Jun 03 10:41:55 GMT 2024","1328","Tests","test_todo_api","","","","Call Base Endpoint","This test calls the base endpoint and checks if the response status is 200."
"passed","Mon Jun 03 10:42:02 GMT 2024","Mon Jun 03 10:42:03 GMT 2024","1611","Tests","test_todo_api","","","","Delete Task","This test deletes a task and verifies if the task is deleted correctly."
"passed","Mon Jun 03 10:41:52 GMT 2024","Mon Jun 03 10:41:52 GMT 2024","33","Tests","test_regres_api","","","","Get List of Users","This test case retrieves a list of users from the API."
"passed","Mon Jun 03 10:42:00 GMT 2024","Mon Jun 03 10:42:02 GMT 2024","1899","Tests","test_todo_api","","","","List Tasks","This test lists tasks for a user and verifies the number of tasks."
"passed","Mon Jun 03 10:41:52 GMT 2024","Mon Jun 03 10:41:52 GMT 2024","22","Tests","test_regres_api","","","","Get Single User","This test case retrieves a single user by ID from the API."
